Name,Latitude,Longitude,Type,Subtype
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-21C
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-15B
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-21C
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-15B
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-21C
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-15B
Shandong MRBM Launch Brigade,36.193265,117.584662,Ballistic,DF-21C
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-15B
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-16
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-21C
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-15B
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-15B
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-15B
Guangdong MRBM Launch Brigade,23.914407,112.736696,Ballistic,DF-21C
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-15B
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-15B
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-21C
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-15B
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-26
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-15B
Guangxi SRBM Launch Brigade,24.158236,109.548712,Ballistic,DF-26
Guangdong SRBM Launch Brigade 1,23.351514,116.263961,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 2,23.351514,116.263961,Ballistic,DF-16
Guangdong SRBM Launch Brigade 3,23.351514,116.263961,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 4,23.351514,116.263961,Ballistic,DF-15B
Guangdong SRBM Launch Brigade 5,23.351514,116.263961,Ballistic,DF-26
Guangdong SRBM Launch Brigade 6,23.351514,116.263961,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 7,23.351514,116.263961,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 1,27.984773,114.458315,Ballistic,DF-16
Jiangxi SRBM Launch Brigade 2,27.984773,114.458315,Ballistic,DF-15B
Jiangxi SRBM Launch Brigade 3,27.984773,114.458315,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 4,27.984773,114.458315,Ballistic,DF-15B
Jiangxi SRBM Launch Brigade 5,27.984773,114.458315,Ballistic,DF-15B
Jiangxi SRBM Launch Brigade 6,27.984773,114.458315,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 7,27.984773,114.458315,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 2,28.92422,117.293713,Ballistic,DF-15B
Jiangxi SRBM Launch Brigade 3,28.92422,117.293713,Ballistic,DF-15B
Jiangxi SRBM Launch Brigade 4,28.92422,117.293713,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 5,28.92422,117.293713,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 6,28.92422,117.293713,Ballistic,DF-21C
Jiangxi SRBM Launch Brigade 7,28.92422,117.293713,Ballistic,DF-16
Jiangxi SRBM Launch Brigade 8,28.92422,117.293713,Ballistic,DF-26
Guangdong SRBM Launch Brigade 2,25.018462,113.526398,Ballistic,DF-16
Guangdong SRBM Launch Brigade 3,25.018462,113.526398,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 4,25.018462,113.526398,Ballistic,DF-16
Guangdong SRBM Launch Brigade 5,25.018462,113.526398,Ballistic,DF-15B
Guangdong SRBM Launch Brigade 6,25.018462,113.526398,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 7,25.018462,113.526398,Ballistic,DF-21C
Guangdong SRBM Launch Brigade 8,25.018462,113.526398,Ballistic,DF-26
Jiangxi MRBM Launch Brigade 3,25.937711,115.172217,Ballistic,DF-15B
Jiangxi MRBM Launch Brigade 4,25.937711,115.172217,Ballistic,DF-21C
Jiangxi MRBM Launch Brigade 5,25.937711,115.172217,Ballistic,DF-15B
Jiangxi MRBM Launch Brigade 6,25.937711,115.172217,Ballistic,DF-15B
Jiangxi MRBM Launch Brigade 7,25.937711,115.172217,Ballistic,DF-21C
Jiangxi MRBM Launch Brigade 8,25.937711,115.172217,Ballistic,DF-21C
Jiangxi MRBM Launch Brigade 9,25.937711,115.172217,Ballistic,DF-15B
Fujian SRBM Launch Brigade 1,25.970669,117.200182,Ballistic,DF-21C
Fujian SRBM Launch Brigade 2,25.970669,117.200182,Ballistic,DF-21C
Fujian SRBM Launch Brigade 3,25.970669,117.200182,Ballistic,DF-21C
Fujian SRBM Launch Brigade 4,25.970669,117.200182,Ballistic,DF-21C
Fujian SRBM Launch Brigade 5,25.970669,117.200182,Ballistic,DF-26
Fujian SRBM Launch Brigade 6,25.970669,117.200182,Ballistic,DF-15B
Fujian SRBM Launch Brigade 7,25.970669,117.200182,Ballistic,DF-21C
Fujian SRBM Launch Brigade 2,25.371045,118.701483,Ballistic,DF-21C
Fujian SRBM Launch Brigade 3,25.371045,118.701483,Ballistic,DF-21C
Fujian SRBM Launch Brigade 4,25.371045,118.701483,Ballistic,DF-16
Fujian SRBM Launch Brigade 5,25.371045,118.701483,Ballistic,DF-15B
Fujian SRBM Launch Brigade 6,25.371045,118.701483,Ballistic,DF-16
Fujian SRBM Launch Brigade 7,25.371045,118.701483,Ballistic,DF-15B
Fujian SRBM Launch Brigade 8,25.371045,118.701483,Ballistic,DF-15B
Zhejiang SRBM Launch Brigade 1,29.220663,119.580701,Ballistic,DF-21C
Zhejiang SRBM Launch Brigade 2,29.220663,119.580701,Ballistic,DF-21C
Zhejiang SRBM Launch Brigade 3,29.220663,119.580701,Ballistic,DF-15B
Zhejiang SRBM Launch Brigade 4,29.220663,119.580701,Ballistic,DF-21C
Zhejiang SRBM Launch Brigade 5,29.220663,119.580701,Ballistic,DF-21C
Zhejiang SRBM Launch Brigade 6,29.220663,119.580701,Ballistic,DF-21C
Zhejiang SRBM Launch Brigade 7,29.220663,119.580701,Ballistic,DF-15B
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Shandong GLCM Launcher,36.193265,117.584662,Cruise,DH-10
Guangdong GLCM Launcher,23.914407,112.736696,Cruise,DH-10
Guangdong GLCM Launcher,23.914407,112.736696,Cruise,DH-10
