time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"45,996","183,985","269,228",100,100,1.0000
2021/01/20-12:01,0.8,"52,535","196,809","284,688",104,104,1.0000
2021/01/20-12:02,1.7,"59,523","210,030","300,524",104,104,1.0000
2021/01/20-12:03,2.5,"67,013","223,755","316,862",106,106,1.0000
2021/01/20-12:04,3.4,"75,007","237,982","333,704",108,108,1.0000
2021/01/20-12:05,4.2,"83,503","252,712","351,048",108,108,1.0000
2021/01/20-12:06,5.0,"92,427","267,818","368,747",109,109,1.0000
2021/01/20-12:07,5.9,"101,904","283,529","387,072",110,110,1.0000
2021/01/20-12:08,6.7,"111,883","299,742","405,899",111,111,1.0000
2021/01/20-12:09,7.6,"122,365","316,458","425,229",112,112,1.0000
2021/01/20-12:10,8.4,"133,403","333,781","445,188",112,112,1.0000
2021/01/20-12:11,7.4,"121,938","314,948","423,266",110,110,1.0000
2021/01/20-12:12,8.3,"132,942","332,290","443,265",111,111,1.0000
2021/01/20-12:13,7.9,"127,332","323,743","433,486",112,112,1.0000
2021/01/20-12:14,8.7,"138,524","341,220","453,600",113,113,1.0000
2021/01/20-12:15,9.6,"150,223","359,205","474,220",113,113,1.0000
2021/01/20-12:16,8.6,"139,125","340,997","453,030",111,111,1.0000
2021/01/20-12:17,9.5,"150,757","358,915","473,584",112,112,1.0000
2021/01/20-12:18,9.0,"145,167","350,027","463,313",112,112,1.0000
2021/01/20-12:19,9.9,"156,995","368,089","483,990",113,113,1.0000
2021/01/20-12:20,10.7,"169,326","386,654","505,169",113,113,1.0000
2021/01/20-12:21,9.7,"157,888","368,003","483,493",110,110,1.0000
2021/01/20-12:22,10.6,"170,003","386,300","504,383",111,111,1.0000
2021/01/20-12:23,9.4,"154,129","361,978","476,517",112,112,1.0000
2021/01/20-12:24,10.2,"166,145","380,175","497,308",112,112,1.0000
2021/01/20-12:25,11.1,"178,659","398,872","518,597",112,112,1.0000
2021/01/20-12:26,9.9,"163,459","374,656","490,600",110,110,1.0000
2021/01/20-12:27,10.7,"175,745","393,124","511,660",111,111,1.0000
2021/01/20-12:28,9.8,"162,231","372,706","488,348",112,112,1.0000
2021/01/20-12:29,10.6,"174,458","391,116","509,350",112,112,1.0000
2021/01/20-12:30,11.4,"187,093","409,882","530,687",112,112,1.0000
2021/01/20-12:31,9.9,"164,241","375,386","491,308",110,110,1.0000
2021/01/20-12:32,10.7,"176,332","393,556","512,028",111,111,1.0000
2021/01/20-12:33,9.8,"163,673","374,097","489,717",112,112,1.0000
2021/01/20-12:34,10.6,"175,760","392,314","510,505",112,112,1.0000
2021/01/20-12:35,11.4,"188,341","411,026","531,788",112,112,1.0000
2021/01/20-12:36,10.2,"171,685","385,560","502,628",110,110,1.0000
2021/01/20-12:37,11.1,"183,966","403,973","523,611",111,111,1.0000
2021/01/20-12:38,10.3,"171,799","385,881","503,035",111,111,1.0000
2021/01/20-12:39,11.1,"184,255","404,519","524,266",112,112,1.0000
2021/01/20-12:40,11.9,"197,263","423,761","546,122",112,112,1.0000
2021/01/20-12:41,10.3,"173,716","388,158","505,463",111,111,1.0000
2021/01/20-12:42,11.1,"186,254","406,931","526,850",111,111,1.0000
2021/01/20-12:43,10.3,"174,558","389,206","506,598",112,112,1.0000
2021/01/20-12:44,11.2,"186,943","407,723","527,685",113,113,1.0000
2021/01/20-12:45,12.0,"199,824","426,734","549,267",113,113,1.0000
2021/01/20-12:46,10.7,"181,005","398,282","516,775",111,111,1.0000
2021/01/20-12:47,11.5,"193,624","417,031","538,095",111,111,1.0000
2021/01/20-12:48,10.9,"186,500","405,579","524,829",112,112,1.0000
2021/01/20-12:49,11.8,"199,264","424,474","546,294",113,113,1.0000
2021/01/20-12:50,12.6,"212,522","443,863","568,254",113,113,1.0000
2021/01/20-12:51,11.2,"191,473","412,664","532,800",110,110,1.0000
2021/01/20-12:52,12.0,"204,333","431,603","554,288",111,111,1.0000
2021/01/20-12:53,11.3,"195,548","417,307","537,679",112,112,1.0000
2021/01/20-12:54,12.1,"208,454","436,291","559,214",113,113,1.0000
2021/01/20-12:55,12.9,"221,850","455,766","581,238",113,113,1.0000
2021/01/20-12:56,11.2,"195,090","416,024","536,051",110,110,1.0000
2021/01/20-12:57,12.0,"207,929","434,942","557,518",111,111,1.0000
2021/01/20-12:58,11.3,"198,189","419,689","539,954",112,112,1.0000
2021/01/20-12:59,12.1,"210,987","438,515","561,308",112,112,1.0000
2021/01/20-13:00,12.9,"224,271","457,827","583,147",113,113,1.0000
2021/01/20-13:01,11.3,"199,335","421,402","541,905",110,110,1.0000
2021/01/20-13:02,12.1,"212,199","440,294","563,325",111,111,1.0000
2021/01/20-13:03,11.3,"201,053","422,812","543,185",112,112,1.0000
2021/01/20-13:04,12.1,"213,893","441,679","564,579",112,112,1.0000
2021/01/20-13:05,12.9,"227,127","460,890","586,296",112,112,1.0000
2021/01/20-13:06,11.3,"202,334","423,938","544,246",110,110,1.0000
2021/01/20-13:07,12.1,"215,136","442,768","565,604",111,111,1.0000
2021/01/20-13:08,11.3,"203,361","425,428","545,931",111,111,1.0000
2021/01/20-13:09,12.1,"216,221","444,316","567,347",112,112,1.0000
2021/01/20-13:10,13.0,"229,567","463,690","589,248",112,112,1.0000
2021/01/20-13:11,10.7,"186,734","404,164","522,722",110,110,1.0000
2021/01/20-13:12,11.5,"199,042","422,448","543,513",111,111,1.0000
2021/01/20-13:13,10.5,"183,408","399,448","517,423",112,112,1.0000
2021/01/20-13:14,11.3,"195,658","417,725","538,228",112,112,1.0000
2021/01/20-13:15,12.1,"208,303","436,346","559,355",112,112,1.0000
2021/01/20-13:16,11.2,"195,651","416,533","536,539",111,111,1.0000
