time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,858,"3,756","5,547",0,0,0.0000
2021/01/20-12:01,0.2,"1,016","4,066","5,919",0,0,0.0000
2021/01/20-12:02,0.5,"1,186","4,387","6,304",0,0,0.0000
2021/01/20-12:03,0.7,"1,368","4,720","6,701",0,0,0.0000
2021/01/20-12:04,0.9,"1,514","4,920","6,908",0,0,0.0000
2021/01/20-12:05,1.2,"1,714","5,268","7,317",0,0,0.0000
2021/01/20-12:06,1.4,"1,927","5,628","7,739",0,0,0.0000
2021/01/20-12:07,1.6,"2,138","5,977","8,146",0,0,0.0000
2021/01/20-12:08,1.9,"2,373","6,360","8,591",0,0,0.0000
2021/01/20-12:09,2.1,"2,621","6,754","9,047",0,0,0.0000
2021/01/20-12:10,2.3,"2,791","6,948","9,235",0,0,0.0000
2021/01/20-12:11,1.7,"2,232","6,042","8,183",0,0,0.0000
2021/01/20-12:12,1.6,"2,100","5,837","7,948",0,0,0.0000
2021/01/20-12:13,1.8,"2,329","6,209","8,380",0,0,0.0000
2021/01/20-12:14,2.1,"2,570","6,593","8,823",0,0,0.0000
2021/01/20-12:15,2.3,"2,827","6,997","9,289",0,0,0.0000
2021/01/20-12:16,1.7,"2,238","6,116","8,301",0,0,0.0000
2021/01/20-12:17,1.9,"2,476","6,502","8,749",0,0,0.0000
2021/01/20-12:18,2.2,"2,727","6,899","9,208",0,0,0.0000
2021/01/20-12:19,2.4,"2,989","7,309","9,679",0,0,0.0000
2021/01/20-12:20,2.6,"3,263","7,730","10,162",0,0,0.0000
2021/01/20-12:21,1.8,"2,377","6,329","8,545",0,0,0.0000
2021/01/20-12:22,2.1,"2,621","6,720","8,998",0,0,0.0000
2021/01/20-12:23,2.3,"2,906","7,232","9,622",0,0,0.0000
2021/01/20-12:24,2.5,"3,174","7,648","10,099",0,0,0.0000
2021/01/20-12:25,2.8,"3,482","8,184","10,746",0,0,0.0000
2021/01/20-12:26,2.0,"2,709","6,964","9,340",0,0,0.0000
2021/01/20-12:27,2.2,"2,892","7,247","9,665",0,0,0.0000
2021/01/20-12:28,2.4,"3,156","7,659","10,138",0,0,0.0000
2021/01/20-12:29,2.7,"3,432","8,082","10,623",0,0,0.0000
2021/01/20-12:30,2.9,"3,720","8,517","11,119",0,0,0.0000
2021/01/20-12:31,2.0,"2,727","6,974","9,346",0,0,0.0000
2021/01/20-12:32,2.2,"2,878","7,216","9,626",0,0,0.0000
