time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"11,666","46,767","68,452",0,0,0.0000
2021/01/20-12:01,0.7,"13,521","50,406","72,838",8,2,0.0000
2021/01/20-12:02,1.4,"15,520","54,188","77,368",11,5,0.0117
2021/01/20-12:03,2.2,"17,681","58,150","82,085",17,7,0.0901
2021/01/20-12:04,2.8,"19,609","61,096","85,331",33,13,0.7512
2021/01/20-12:05,3.6,"22,122","65,697","90,871",34,17,0.9649
2021/01/20-12:06,4.3,"24,686","70,044","95,966",40,19,0.9893
2021/01/20-12:07,5.0,"27,412","74,571","101,248",42,20,0.9941
2021/01/20-12:08,5.7,"30,284","79,244","106,676",52,22,0.9982
2021/01/20-12:09,6.4,"33,301","84,061","112,248",54,26,1.0000
2021/01/20-12:10,7.2,"36,463","89,024","117,966",56,23,0.9994
2021/01/20-12:11,6.8,"35,018","86,557","115,071",49,30,1.0000
2021/01/20-12:12,7.1,"36,597","88,967","117,830",47,24,0.9998
2021/01/20-12:13,7.8,"39,889","94,060","123,677",53,27,1.0000
2021/01/20-12:14,8.5,"43,326","99,297","129,670",55,27,1.0000
2021/01/20-12:15,9.2,"46,908","104,680","135,808",57,28,1.0000
2021/01/20-12:16,8.8,"45,292","101,870","132,497",50,22,0.9982
2021/01/20-12:17,8.8,"45,666","102,279","132,920",49,23,0.9994
2021/01/20-12:18,9.5,"49,300","107,713","139,109",54,23,0.9994
2021/01/20-12:19,10.2,"53,097","113,328","145,487",56,23,0.9994
2021/01/20-12:20,11.0,"57,041","119,090","152,011",58,25,0.9999
2021/01/20-12:21,10.5,"55,949","117,028","149,542",52,23,0.9994
2021/01/20-12:22,11.0,"58,728","120,967","153,968",55,23,0.9994
2021/01/20-12:23,11.8,"62,851","126,926","160,696",58,26,1.0000
2021/01/20-12:24,12.5,"67,232","133,463","168,202",60,27,1.0000
2021/01/20-12:25,13.2,"71,651","139,718","175,227",63,28,1.0000
2021/01/20-12:26,12.6,"69,189","135,628","170,454",58,28,1.0000
2021/01/20-12:27,9.0,"48,443","105,880","136,930",45,23,0.9994
2021/01/20-12:28,9.7,"52,172","111,461","143,288",51,28,1.0000
2021/01/20-12:29,10.4,"56,049","117,191","149,795",55,29,1.0000
2021/01/20-12:30,11.2,"60,077","123,071","156,452",58,30,1.0000
2021/01/20-12:31,9.8,"53,157","112,619","144,519",50,24,0.9998
2021/01/20-12:32,10.2,"55,469","115,883","148,183",52,25,0.9999
2021/01/20-12:33,10.9,"59,419","121,669","154,738",57,27,1.0000
2021/01/20-12:34,11.6,"63,518","127,603","161,441",58,28,1.0000
2021/01/20-12:35,12.4,"67,765","133,685","168,293",61,30,1.0000
2021/01/20-12:36,11.7,"65,461","129,771","163,704",55,30,1.0000
2021/01/20-12:37,12.5,"69,744","135,906","170,616",58,30,1.0000
2021/01/20-12:38,13.2,"74,176","142,191","177,678",61,31,1.0000
2021/01/20-12:39,13.9,"78,758","148,625","184,889",62,33,1.0000
2021/01/20-12:40,14.7,"83,597","155,639","192,879",65,34,1.0000
2021/01/20-12:41,14.3,"83,347","154,472","191,327",60,31,1.0000
2021/01/20-12:42,14.3,"84,369","155,546","192,422",58,29,1.0000
2021/01/20-12:43,15.1,"89,180","162,209","199,862",61,31,1.0000
2021/01/20-12:44,15.8,"94,140","169,021","207,451",63,33,1.0000
2021/01/20-12:45,16.6,"99,249","175,983","215,190",64,33,1.0000
2021/01/20-12:46,16.3,"99,974","176,103","215,055",60,31,1.0000
2021/01/20-12:47,13.4,"80,109","148,862","184,722",52,23,0.9994
