time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"17,404","69,675","101,965",9,4,0.0020
2021/01/20-12:01,0.7,"20,107","74,976","108,356",16,9,0.2728
2021/01/20-12:02,1.4,"23,075","80,594","115,086",18,12,0.6502
2021/01/20-12:03,2.1,"26,311","86,535","122,161",22,11,0.5083
2021/01/20-12:04,2.8,"29,766","92,694","129,454",25,13,0.7512
2021/01/20-12:05,3.5,"33,439","99,071","136,964",28,15,0.8843
2021/01/20-12:06,4.2,"37,330","105,666","144,693",29,15,0.8843
2021/01/20-12:07,4.9,"41,438","112,479","152,640",31,15,0.8843
2021/01/20-12:08,5.5,"45,268","118,694","159,856",33,17,0.9649
2021/01/20-12:09,6.2,"49,787","125,918","168,214",34,20,0.9941
2021/01/20-12:10,7.0,"54,524","133,359","176,790",35,16,0.9363
2021/01/20-12:11,5.7,"46,841","120,850","162,257",30,15,0.8843
2021/01/20-12:12,6.4,"51,407","128,121","170,662",32,15,0.8843
2021/01/20-12:13,6.9,"55,038","133,767","177,153",33,17,0.9649
2021/01/20-12:14,7.6,"59,985","141,418","185,938",34,17,0.9649
2021/01/20-12:15,8.3,"65,150","149,287","194,941",35,18,0.9807
2021/01/20-12:16,5.8,"48,241","122,569","164,109",30,19,0.9893
2021/01/20-12:17,6.5,"52,833","129,865","172,539",32,18,0.9807
2021/01/20-12:18,6.3,"51,316","127,711","170,119",32,14,0.8230
2021/01/20-12:19,6.9,"55,599","134,327","177,713",33,16,0.9363
2021/01/20-12:20,7.6,"60,546","141,978","186,498",34,15,0.8843
2021/01/20-12:21,6.2,"51,517","127,329","169,492",29,15,0.8843
2021/01/20-12:22,6.9,"56,229","134,745","178,042",31,16,0.9363
2021/01/20-12:23,5.4,"44,542","117,332","158,227",29,15,0.8843
2021/01/20-12:24,6.1,"49,394","125,928","168,589",32,18,0.9807
2021/01/20-12:25,6.8,"54,195","133,539","177,378",34,17,0.9649
2021/01/20-12:26,5.9,"48,029","123,661","165,944",31,17,0.9649
2021/01/20-12:27,6.6,"52,757","131,200","174,661",33,16,0.9363
2021/01/20-12:28,6.9,"55,082","134,797","178,792",33,19,0.9893
2021/01/20-12:29,7.7,"60,139","142,664","187,838",35,20,0.9941
2021/01/20-12:30,8.4,"65,423","150,758","197,110",36,21,0.9968
2021/01/20-12:31,6.6,"54,917","135,438","180,162",32,20,0.9941
2021/01/20-12:32,7.4,"59,880","143,211","189,114",34,18,0.9807
2021/01/20-12:33,8.1,"65,070","151,211","198,293",36,18,0.9807
2021/01/20-12:34,8.8,"70,486","159,438","207,698",37,16,0.9363
2021/01/20-12:35,9.6,"76,129","167,891","217,330",38,22,0.9982
2021/01/20-12:36,7.2,"60,266","142,908","188,522",32,17,0.9649
2021/01/20-12:37,7.9,"65,400","150,852","197,645",34,20,0.9941
2021/01/20-12:38,8.6,"70,263","158,208","206,045",35,19,0.9893
2021/01/20-12:39,9.3,"75,825","166,580","215,596",37,18,0.9807
2021/01/20-12:40,10.0,"81,944","176,494","227,298",38,21,0.9968
2021/01/20-12:41,6.9,"58,700","141,427","187,272",33,16,0.9363
2021/01/20-12:42,7.7,"63,762","149,299","196,322",35,19,0.9893
2021/01/20-12:43,8.3,"68,386","156,309","204,333",36,22,0.9982
2021/01/20-12:44,9.0,"73,867","164,600","213,803",37,23,0.9994
2021/01/20-12:45,9.8,"79,574","173,118","223,499",38,21,0.9968
2021/01/20-12:46,6.0,"51,224","130,398","174,754",33,18,0.9807
2021/01/20-12:47,6.8,"55,999","137,984","183,518",35,19,0.9893
2021/01/20-12:48,6.8,"56,629","138,985","184,674",35,18,0.9807
2021/01/20-12:49,7.6,"61,661","146,827","193,695",36,18,0.9807
2021/01/20-12:50,8.3,"66,919","154,895","202,942",37,19,0.9893
2021/01/20-12:51,6.9,"58,540","141,988","188,331",33,16,0.9363
2021/01/20-12:52,7.6,"63,581","149,839","197,360",35,17,0.9649
2021/01/20-12:53,5.6,"47,876","126,499","170,819",33,19,0.9893
2021/01/20-12:54,6.3,"52,527","133,960","179,459",35,20,0.9941
2021/01/20-12:55,7.1,"57,460","141,756","188,455",37,19,0.9893
2021/01/20-12:56,5.8,"48,470","127,676","172,241",33,20,0.9941
2021/01/20-12:57,6.5,"52,418","133,130","178,130",34,22,0.9982
2021/01/20-12:58,7.0,"55,832","138,452","184,253",35,18,0.9807
2021/01/20-12:59,7.8,"60,885","146,316","193,295",36,21,0.9968
2021/01/20-13:00,8.5,"66,165","154,406","202,563",37,19,0.9893
2021/01/20-13:01,6.2,"51,391","130,056","174,002",32,18,0.9807
2021/01/20-13:02,6.9,"56,260","137,788","182,935",34,19,0.9893
2021/01/20-13:03,7.7,"61,359","145,751","192,099",36,20,0.9941
2021/01/20-13:04,8.4,"66,690","153,945","201,493",37,20,0.9941
2021/01/20-13:05,9.2,"72,251","162,369","211,119",38,21,0.9968
2021/01/20-13:06,6.5,"53,987","134,190","178,781",32,17,0.9649
2021/01/20-13:07,7.3,"58,980","142,046","187,838",35,17,0.9649
2021/01/20-13:08,8.0,"62,981","147,288","193,404",35,18,0.9807
2021/01/20-13:09,8.7,"68,329","155,446","202,741",36,20,0.9941
2021/01/20-13:10,9.5,"73,904","163,831","212,304",37,18,0.9807
2021/01/20-13:11,7.4,"60,629","142,867","188,117",32,21,0.9968
2021/01/20-13:12,8.1,"65,865","150,967","197,417",34,21,0.9968
2021/01/20-13:13,8.7,"69,778","155,909","202,594",34,22,0.9982
2021/01/20-13:14,9.2,"74,191","162,390","209,943",35,21,0.9968
2021/01/20-13:15,9.9,"79,933","170,942","219,673",36,22,0.9982
2021/01/20-13:16,7.1,"59,498","139,797","184,036",31,14,0.8230
2021/01/20-13:17,7.9,"64,603","147,711","193,129",33,16,0.9363
2021/01/20-13:18,7.9,"64,965","148,180","193,642",33,13,0.7512
2021/01/20-13:19,8.6,"70,305","156,330","202,971",35,15,0.8843
2021/01/20-13:20,9.4,"75,871","164,706","212,526",36,15,0.8843
2021/01/20-13:21,7.4,"61,544","142,743","187,361",31,18,0.9807
2021/01/20-13:22,8.1,"66,776","150,839","196,657",33,17,0.9649
2021/01/20-13:23,6.2,"50,747","127,599","170,394",31,17,0.9649
2021/01/20-13:24,7.0,"55,629","135,344","179,339",33,18,0.9807
2021/01/20-13:25,7.7,"60,741","143,320","188,515",35,20,0.9941
2021/01/20-13:26,6.0,"49,911","126,073","168,578",32,19,0.9893
2021/01/20-13:27,6.8,"54,737","133,762","177,468",34,19,0.9893
2021/01/20-13:28,7.1,"56,751","136,837","180,987",34,22,0.9982
2021/01/20-13:29,7.8,"61,893","144,842","190,194",35,23,0.9994
2021/01/20-13:30,8.6,"67,266","153,079","199,631",36,20,0.9941
2021/01/20-13:31,6.8,"56,574","135,811","179,606",32,18,0.9807
2021/01/20-13:32,7.6,"61,648","143,748","188,744",34,21,0.9968
