time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"22,998","91,992","134,614",28,28,1.0000
2021/01/20-12:01,0.8,"25,946","97,774","141,584",32,32,1.0000
2021/01/20-12:02,1.5,"29,122","103,783","148,782",33,33,1.0000
2021/01/20-12:03,2.3,"32,527","110,022","156,208",36,36,1.0000
2021/01/20-12:04,3.0,"36,094","116,371","163,724",38,38,1.0000
2021/01/20-12:05,3.8,"39,886","122,945","171,465",39,39,1.0000
2021/01/20-12:06,4.5,"43,828","129,617","179,282",40,40,1.0000
2021/01/20-12:07,5.3,"48,043","136,614","187,446",41,41,1.0000
2021/01/20-12:08,6.0,"52,483","143,836","195,834",42,42,1.0000
2021/01/20-12:09,6.8,"57,147","151,282","204,447",43,43,1.0000
2021/01/20-12:10,7.5,"61,944","158,810","213,120",44,44,1.0000
2021/01/20-12:11,7.2,"60,503","156,287","210,143",40,40,1.0000
2021/01/20-12:12,8.0,"65,487","164,053","219,076",42,42,1.0000
2021/01/20-12:13,6.2,"53,343","145,160","197,353",42,42,1.0000
2021/01/20-12:14,6.9,"58,049","152,648","206,007",43,43,1.0000
2021/01/20-12:15,7.7,"63,032","160,465","215,013",44,44,1.0000
2021/01/20-12:16,7.6,"63,035","160,210","214,649",41,41,1.0000
2021/01/20-12:17,8.4,"68,226","168,235","223,862",42,42,1.0000
2021/01/20-12:18,6.2,"53,322","145,191","197,405",43,43,1.0000
2021/01/20-12:19,6.9,"58,102","152,804","206,207",44,44,1.0000
2021/01/20-12:20,7.7,"63,111","160,646","215,237",44,44,1.0000
2021/01/20-12:21,7.5,"62,269","159,032","213,299",41,41,1.0000
2021/01/20-12:22,8.2,"67,444","167,040","222,496",42,42,1.0000
2021/01/20-12:23,6.4,"54,579","147,169","199,686",43,43,1.0000
2021/01/20-12:24,7.1,"59,471","154,946","208,673",44,44,1.0000
2021/01/20-12:25,7.9,"64,595","162,956","217,892",45,45,1.0000
2021/01/20-12:26,7.8,"64,308","162,205","216,947",41,41,1.0000
2021/01/20-12:27,8.6,"69,628","170,410","226,362",42,42,1.0000
2021/01/20-12:28,6.4,"54,467","147,108","199,646",44,44,1.0000
2021/01/20-12:29,7.2,"59,416","154,994","208,764",45,45,1.0000
2021/01/20-12:30,7.9,"64,512","162,975","217,954",45,45,1.0000
2021/01/20-12:31,7.9,"64,468","162,622","217,472",41,41,1.0000
