time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,513,"2,203","3,248",0,0,0.0000
2021/01/20-12:01,0.3,603,"2,380","3,461",0,0,0.0000
2021/01/20-12:02,0.6,700,"2,563","3,681",0,0,0.0000
2021/01/20-12:03,0.8,804,"2,754","3,907",0,0,0.0000
2021/01/20-12:04,1.1,867,"2,806","3,939",0,0,0.0000
2021/01/20-12:05,1.3,979,"3,000","4,167",0,0,0.0000
2021/01/20-12:06,1.6,"1,098","3,201","4,403",0,0,0.0000
2021/01/20-12:07,1.8,"1,223","3,409","4,645",0,0,0.0000
2021/01/20-12:08,2.1,"1,355","3,623","4,894",0,0,0.0000
2021/01/20-12:09,2.4,"1,493","3,844","5,149",0,0,0.0000
2021/01/20-12:10,2.5,"1,550","3,859","5,131",0,0,0.0000
2021/01/20-12:11,1.5,"1,037","3,035","4,176",0,0,0.0000
2021/01/20-12:12,1.8,"1,156","3,231","4,405",0,0,0.0000
2021/01/20-12:13,2.0,"1,281","3,434","4,641",0,0,0.0000
2021/01/20-12:14,2.2,"1,413","3,643","4,882",0,0,0.0000
2021/01/20-12:15,2.5,"1,555","3,868","5,141",0,0,0.0000
2021/01/20-12:16,1.5,"1,047","3,053","4,197",0,0,0.0000
2021/01/20-12:17,1.8,"1,171","3,259","4,438",0,0,0.0000
2021/01/20-12:18,2.1,"1,301","3,472","4,685",0,0,0.0000
2021/01/20-12:19,2.3,"1,439","3,691","4,939",0,0,0.0000
2021/01/20-12:20,2.6,"1,582","3,917","5,200",0,0,0.0000
2021/01/20-12:21,1.6,"1,070","3,093","4,245",0,0,0.0000
2021/01/20-12:22,1.8,"1,195","3,300","4,487",0,0,0.0000
2021/01/20-12:23,2.1,"1,355","3,623","4,894",0,0,0.0000
2021/01/20-12:24,2.4,"1,493","3,844","5,149",0,0,0.0000
2021/01/20-12:25,2.6,"1,667","4,180","5,569",0,0,0.0000
2021/01/20-12:26,1.7,"1,162","3,368","4,628",0,0,0.0000
2021/01/20-12:27,1.9,"1,289","3,577","4,872",0,0,0.0000
2021/01/20-12:28,2.2,"1,423","3,793","5,122",0,0,0.0000
2021/01/20-12:29,2.4,"1,563","4,016","5,379",0,0,0.0000
2021/01/20-12:30,2.7,"1,710","4,245","5,643",0,0,0.0000
2021/01/20-12:31,1.6,"1,125","3,309","4,561",0,0,0.0000
2021/01/20-12:32,1.8,"1,251","3,517","4,803",0,0,0.0000
2021/01/20-12:33,2.1,"1,383","3,731","5,052",0,0,0.0000
2021/01/20-12:34,2.4,"1,521","3,952","5,307",0,0,0.0000
2021/01/20-12:35,2.6,"1,667","4,180","5,569",0,0,0.0000
2021/01/20-12:36,1.6,"1,125","3,309","4,561",0,0,0.0000
2021/01/20-12:37,1.8,"1,251","3,517","4,803",0,0,0.0000
2021/01/20-12:38,2.1,"1,383","3,731","5,052",0,0,0.0000
2021/01/20-12:39,2.4,"1,521","3,952","5,307",0,0,0.0000
2021/01/20-12:40,2.6,"1,667","4,180","5,569",0,0,0.0000
2021/01/20-12:41,1.7,"1,162","3,368","4,628",0,0,0.0000
2021/01/20-12:42,1.9,"1,289","3,577","4,872",0,0,0.0000
2021/01/20-12:43,2.2,"1,423","3,793","5,122",0,0,0.0000
2021/01/20-12:44,2.4,"1,563","4,016","5,379",0,0,0.0000
2021/01/20-12:45,2.7,"1,710","4,245","5,643",0,0,0.0000
2021/01/20-12:46,1.6,"1,125","3,309","4,561",0,0,0.0000
2021/01/20-12:47,1.8,"1,251","3,517","4,803",0,0,0.0000
2021/01/20-12:48,2.1,"1,383","3,731","5,052",0,0,0.0000
2021/01/20-12:49,2.4,"1,521","3,952","5,307",0,0,0.0000
2021/01/20-12:50,2.6,"1,667","4,180","5,569",0,0,0.0000
2021/01/20-12:51,1.6,"1,125","3,309","4,561",0,0,0.0000
2021/01/20-12:52,1.8,"1,251","3,517","4,803",0,0,0.0000
2021/01/20-12:53,2.1,"1,383","3,731","5,052",0,0,0.0000
2021/01/20-12:54,2.4,"1,526","3,961","5,318",0,0,0.0000
2021/01/20-12:55,2.7,"1,676","4,198","5,591",0,0,0.0000
2021/01/20-12:56,1.8,"1,217","3,462","4,739",0,0,0.0000
2021/01/20-12:57,2.1,"1,357","3,692","5,007",0,0,0.0000
2021/01/20-12:58,2.4,"1,503","3,930","5,283",0,0,0.0000
2021/01/20-12:59,2.7,"1,657","4,175","5,566",0,0,0.0000
2021/01/20-13:00,2.9,"1,818","4,427","5,856",0,0,0.0000
2021/01/20-13:01,1.8,"1,226","3,484","4,766",0,0,0.0000
2021/01/20-13:02,2.1,"1,367","3,715","5,036",0,0,0.0000
2021/01/20-13:03,2.4,"1,514","3,954","5,312",0,0,0.0000
2021/01/20-13:04,2.7,"1,669","4,200","5,596",0,0,0.0000
2021/01/20-13:05,3.0,"1,832","4,453","5,887",0,0,0.0000
2021/01/20-13:06,1.8,"1,190","3,426","4,699",0,0,0.0000
2021/01/20-13:07,2.0,"1,328","3,655","4,967",0,0,0.0000
2021/01/20-13:08,2.2,"1,429","3,812","5,147",0,0,0.0000
2021/01/20-13:09,2.5,"1,579","4,053","5,426",0,0,0.0000
2021/01/20-13:10,2.8,"1,737","4,302","5,713",0,0,0.0000
2021/01/20-13:11,1.8,"1,209","3,453","4,730",0,0,0.0000
2021/01/20-13:12,2.1,"1,376","3,792","5,156",0,0,0.0000
2021/01/20-13:13,2.4,"1,522","4,029","5,432",0,0,0.0000
2021/01/20-13:14,2.7,"1,676","4,274","5,715",0,0,0.0000
2021/01/20-13:15,2.9,"1,837","4,526","6,005",0,0,0.0000
2021/01/20-13:16,1.9,"1,291","3,651","4,992",0,0,0.0000
2021/01/20-13:17,2.2,"1,433","3,883","5,263",0,0,0.0000
2021/01/20-13:18,2.5,"1,582","4,124","5,541",0,0,0.0000
2021/01/20-13:19,2.8,"1,739","4,371","5,827",0,0,0.0000
2021/01/20-13:20,3.1,"1,903","4,626","6,120",0,0,0.0000
2021/01/20-13:21,1.8,"1,218","3,534","4,857",0,0,0.0000
2021/01/20-13:22,2.0,"1,356","3,764","5,125",0,0,0.0000
2021/01/20-13:23,2.3,"1,502","4,001","5,400",0,0,0.0000
2021/01/20-13:24,2.6,"1,655","4,245","5,682",0,0,0.0000
2021/01/20-13:25,2.9,"1,816","4,496","5,971",0,0,0.0000
2021/01/20-13:26,1.9,"1,291","3,651","4,992",0,0,0.0000
2021/01/20-13:27,2.2,"1,433","3,883","5,263",0,0,0.0000
2021/01/20-13:28,2.5,"1,582","4,124","5,541",0,0,0.0000
2021/01/20-13:29,2.8,"1,739","4,371","5,827",0,0,0.0000
2021/01/20-13:30,3.1,"1,903","4,626","6,120",0,0,0.0000
2021/01/20-13:31,1.8,"1,194","3,426","4,697",0,0,0.0000
2021/01/20-13:32,2.0,"1,289","3,577","4,872",0,0,0.0000
2021/01/20-13:33,2.3,"1,427","3,802","5,133",0,0,0.0000
2021/01/20-13:34,2.6,"1,572","4,034","5,401",0,0,0.0000
2021/01/20-13:35,2.8,"1,725","4,272","5,676",0,0,0.0000
2021/01/20-13:36,1.7,"1,145","3,347","4,606",0,0,0.0000
2021/01/20-13:37,1.9,"1,277","3,565","4,860",0,0,0.0000
2021/01/20-13:38,2.2,"1,415","3,790","5,121",0,0,0.0000
2021/01/20-13:39,2.5,"1,560","4,021","5,389",0,0,0.0000
2021/01/20-13:40,2.8,"1,712","4,260","5,664",0,0,0.0000
2021/01/20-13:41,1.7,"1,158","3,368","4,630",0,0,0.0000
2021/01/20-13:42,1.9,"1,317","3,695","5,043",0,0,0.0000
2021/01/20-13:43,2.2,"1,461","3,929","5,315",0,0,0.0000
2021/01/20-13:44,2.5,"1,612","4,171","5,595",0,0,0.0000
2021/01/20-13:45,2.8,"1,770","4,420","5,882",0,0,0.0000
