time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"5,670","22,738","33,282",0,0,0.0000
2021/01/20-12:01,0.7,"6,571","24,504","35,411",0,0,0.0000
2021/01/20-12:02,1.4,"7,504","26,268","37,524",0,0,0.0000
2021/01/20-12:03,2.1,"8,559","28,207","39,832",0,0,0.0000
2021/01/20-12:04,2.8,"9,686","30,216","42,212",0,0,0.0000
2021/01/20-12:05,3.5,"10,884","32,297","44,664",0,0,0.0000
2021/01/20-12:06,4.2,"12,153","34,449","47,186",0,0,0.0000
2021/01/20-12:07,4.9,"13,493","36,673","49,779",0,0,0.0000
2021/01/20-12:08,5.6,"14,905","38,967","52,444",0,0,0.0000
2021/01/20-12:09,6.3,"16,387","41,333","55,180",1,0,0.0000
2021/01/20-12:10,7.0,"17,941","43,770","57,987",3,2,0.0000
2021/01/20-12:11,4.5,"12,688","35,313","48,188",0,0,0.0000
2021/01/20-12:12,5.2,"14,055","37,563","50,808",0,0,0.0000
2021/01/20-12:13,5.9,"15,493","39,884","53,499",0,0,0.0000
2021/01/20-12:14,6.6,"17,002","42,276","56,262",2,2,0.0000
2021/01/20-12:15,7.3,"18,582","44,740","59,095",4,2,0.0000
2021/01/20-12:16,4.2,"12,250","34,616","47,381",0,0,0.0000
2021/01/20-12:17,5.0,"13,596","36,845","49,980",0,0,0.0000
2021/01/20-12:18,5.7,"15,013","39,145","52,651",0,0,0.0000
2021/01/20-12:19,6.4,"16,501","41,516","55,392",1,0,0.0000
2021/01/20-12:20,7.1,"18,061","43,958","58,205",4,2,0.0000
2021/01/20-12:21,4.5,"12,688","35,313","48,188",0,0,0.0000
2021/01/20-12:22,5.2,"14,055","37,563","50,808",0,0,0.0000
2021/01/20-12:23,5.9,"15,511","39,919","53,542",0,0,0.0000
2021/01/20-12:24,6.6,"17,148","42,779","56,977",2,2,0.0000
2021/01/20-12:25,7.3,"18,767","45,316","59,899",4,3,0.0001
2021/01/20-12:26,4.5,"12,914","35,965","49,082",0,0,0.0000
