time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"22,998","91,992","134,614",28,28,1.0000
2021/01/20-12:01,0.8,"25,946","97,774","141,584",32,32,1.0000
2021/01/20-12:02,1.5,"29,122","103,783","148,782",33,33,1.0000
2021/01/20-12:03,2.3,"32,527","110,022","156,208",36,36,1.0000
2021/01/20-12:04,3.0,"36,094","116,371","163,724",38,38,1.0000
2021/01/20-12:05,3.8,"39,886","122,945","171,465",39,39,1.0000
2021/01/20-12:06,4.5,"43,828","129,617","179,282",40,40,1.0000
2021/01/20-12:07,5.3,"48,043","136,614","187,446",41,41,1.0000
2021/01/20-12:08,6.0,"52,483","143,836","195,834",42,42,1.0000
2021/01/20-12:09,6.8,"57,147","151,282","204,447",43,43,1.0000
2021/01/20-12:10,7.5,"61,944","158,810","213,120",44,44,1.0000
2021/01/20-12:11,8.3,"67,016","166,664","222,140",44,44,1.0000
2021/01/20-12:12,9.0,"72,311","174,741","231,385",45,45,1.0000
2021/01/20-12:13,9.8,"77,831","183,043","240,853",46,46,1.0000
2021/01/20-12:14,10.5,"83,576","191,570","250,546",46,46,1.0000
2021/01/20-12:15,11.3,"89,598","200,426","260,590",46,46,1.0000
2021/01/20-12:16,12.0,"95,849","209,510","270,863",47,47,1.0000
2021/01/20-12:17,12.8,"102,328","218,823","281,364",48,48,1.0000
2021/01/20-12:18,13.6,"109,036","228,364","292,094",48,48,1.0000
2021/01/20-12:19,14.3,"115,972","238,134","303,052",48,48,1.0000
2021/01/20-12:20,15.1,"123,137","248,133","314,239",48,48,1.0000
2021/01/20-12:21,15.9,"130,531","258,360","325,654",49,49,1.0000
2021/01/20-12:22,16.6,"138,153","268,815","337,298",49,49,1.0000
2021/01/20-12:23,17.4,"146,003","279,499","349,170",49,49,1.0000
2021/01/20-12:24,18.2,"154,135","290,517","361,397",50,50,1.0000
2021/01/20-12:25,18.9,"162,501","301,767","373,857",50,50,1.0000
2021/01/20-12:26,19.7,"171,099","313,250","386,550",50,50,1.0000
2021/01/20-12:27,20.5,"179,929","324,965","399,476",50,50,1.0000
2021/01/20-12:28,21.3,"189,046","337,019","412,760",51,51,1.0000
2021/01/20-12:29,22.1,"198,399","349,309","426,282",51,51,1.0000
2021/01/20-12:30,22.9,"207,816","361,610","439,793",51,51,1.0000
2021/01/20-12:31,23.6,"217,465","374,144","453,537",51,51,1.0000
