time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,513,"2,203","3,248",0,0,0.0000
2021/01/20-12:01,0.3,603,"2,380","3,461",0,0,0.0000
2021/01/20-12:02,0.6,700,"2,563","3,681",0,0,0.0000
2021/01/20-12:03,0.8,804,"2,754","3,907",0,0,0.0000
2021/01/20-12:04,1.1,867,"2,806","3,939",0,0,0.0000
2021/01/20-12:05,1.4,979,"3,000","4,167",0,0,0.0000
2021/01/20-12:06,1.6,"1,098","3,201","4,403",0,0,0.0000
2021/01/20-12:07,1.8,"1,185","3,345","4,571",0,0,0.0000
2021/01/20-12:08,2.1,"1,308","3,546","4,804",0,0,0.0000
2021/01/20-12:09,2.2,"1,391","3,672","4,949",0,0,0.0000
2021/01/20-12:10,2.4,"1,424","3,650","4,888",0,0,0.0000
2021/01/20-12:11,2.7,"1,561","3,865","5,135",0,0,0.0000
2021/01/20-12:12,2.9,"1,705","4,087","5,389",0,0,0.0000
2021/01/20-12:13,3.2,"1,854","4,315","5,650",0,0,0.0000
2021/01/20-12:14,3.4,"2,010","4,549","5,917",0,0,0.0000
2021/01/20-12:15,3.7,"2,177","4,798","6,200",0,0,0.0000
2021/01/20-12:16,4.0,"2,351","5,054","6,490",0,0,0.0000
2021/01/20-12:17,4.2,"2,531","5,316","6,787",0,0,0.0000
2021/01/20-12:18,4.5,"2,718","5,585","7,091",0,0,0.0000
2021/01/20-12:19,4.5,"2,752","5,610","7,112",0,0,0.0000
2021/01/20-12:20,4.7,"2,944","5,885","7,422",0,0,0.0000
2021/01/20-12:21,5.0,"3,144","6,167","7,738",0,0,0.0000
2021/01/20-12:22,5.2,"3,331","6,423","8,024",0,0,0.0000
2021/01/20-12:23,5.5,"3,570","6,825","8,510",0,0,0.0000
2021/01/20-12:24,5.7,"3,789","7,126","8,845",0,0,0.0000
2021/01/20-12:25,5.0,"3,319","6,538","8,223",0,0,0.0000
2021/01/20-12:26,5.3,"3,528","6,829","8,549",0,0,0.0000
2021/01/20-12:27,5.6,"3,743","7,127","8,881",0,0,0.0000
2021/01/20-12:28,5.8,"3,947","7,399","9,182",0,0,0.0000
2021/01/20-12:29,6.1,"4,174","7,709","9,527",0,0,0.0000
2021/01/20-12:30,6.3,"4,409","8,025","9,878",0,0,0.0000
2021/01/20-12:31,6.5,"4,631","8,317","10,198",0,0,0.0000
2021/01/20-12:32,6.8,"4,877","8,646","10,561",0,0,0.0000
2021/01/20-12:33,7.1,"5,130","8,981","10,931",0,0,0.0000
2021/01/20-12:34,7.3,"5,371","9,291","11,270",0,0,0.0000
2021/01/20-12:35,7.6,"5,637","9,639","11,652",0,0,0.0000
2021/01/20-12:36,5.4,"3,885","7,268","9,022",0,0,0.0000
2021/01/20-12:37,5.7,"4,107","7,572","9,361",0,0,0.0000
2021/01/20-12:38,6.0,"4,336","7,883","9,706",0,0,0.0000
2021/01/20-12:39,6.2,"4,571","8,201","10,058",0,0,0.0000
2021/01/20-12:40,6.5,"4,813","8,525","10,417",0,0,0.0000
2021/01/20-12:41,6.8,"5,061","8,856","10,782",0,0,0.0000
2021/01/20-12:42,7.0,"5,317","9,193","11,154",0,0,0.0000
2021/01/20-12:43,6.9,"5,388","9,243","11,195",0,0,0.0000
2021/01/20-12:44,7.2,"5,648","9,585","11,571",0,0,0.0000
2021/01/20-12:45,7.5,"5,914","9,934","11,955",0,0,0.0000
2021/01/20-12:46,7.7,"6,188","10,289","12,345",0,0,0.0000
2021/01/20-12:47,8.0,"6,468","10,652","12,742",0,0,0.0000
2021/01/20-12:48,8.3,"6,754","11,020","13,145",0,0,0.0000
2021/01/20-12:49,8.4,"7,007","11,329","13,477",0,0,0.0000
2021/01/20-12:50,8.7,"7,305","11,709","13,892",0,0,0.0000
2021/01/20-12:51,9.0,"7,609","12,096","14,313",0,0,0.0000
2021/01/20-12:52,9.1,"7,836","12,353","14,583",0,0,0.0000
2021/01/20-12:53,9.3,"8,149","12,749","15,013",0,0,0.0000
2021/01/20-12:54,9.6,"8,474","13,160","15,460",0,0,0.0000
2021/01/20-12:55,9.8,"8,768","13,515","15,841",0,0,0.0000
2021/01/20-12:56,10.1,"9,109","13,947","16,311",0,0,0.0000
2021/01/20-12:57,10.4,"9,457","14,386","16,788",0,0,0.0000
2021/01/20-12:58,6.8,"4,973","8,772","10,700",0,0,0.0000
2021/01/20-12:59,7.1,"5,238","9,127","11,094",0,0,0.0000
2021/01/20-13:00,7.3,"5,510","9,490","11,495",0,0,0.0000
2021/01/20-13:01,7.6,"5,789","9,860","11,903",0,0,0.0000
2021/01/20-13:02,7.9,"6,076","10,238","12,319",0,0,0.0000
2021/01/20-13:03,8.2,"6,369","10,623","12,742",0,0,0.0000
2021/01/20-13:04,8.3,"6,583","10,875","13,011",0,0,0.0000
2021/01/20-13:05,8.6,"6,887","11,270","13,444",0,0,0.0000
2021/01/20-13:06,8.9,"7,199","11,673","13,885",0,0,0.0000
2021/01/20-13:07,8.3,"6,380","10,659","12,789",0,0,0.0000
2021/01/20-13:08,8.6,"6,683","11,053","13,221",0,0,0.0000
2021/01/20-13:09,8.9,"6,994","11,455","13,661",0,0,0.0000
2021/01/20-13:10,9.1,"7,293","11,832","14,071",0,0,0.0000
2021/01/20-13:11,9.4,"7,617","12,247","14,524",0,0,0.0000
2021/01/20-13:12,9.7,"7,977","12,778","15,143",0,0,0.0000
2021/01/20-13:13,9.8,"8,222","13,062","15,443",0,0,0.0000
2021/01/20-13:14,10.1,"8,564","13,495","15,914",0,0,0.0000
2021/01/20-13:15,10.4,"8,913","13,935","16,393",0,0,0.0000
2021/01/20-13:16,10.7,"9,270","14,383","16,878",0,0,0.0000
2021/01/20-13:17,11.0,"9,634","14,838","17,371",0,0,0.0000
2021/01/20-13:18,10.7,"9,497","14,605","17,099",0,0,0.0000
2021/01/20-13:19,10.9,"9,820","14,993","17,514",0,0,0.0000
2021/01/20-13:20,11.2,"10,189","15,453","18,012",0,0,0.0000
2021/01/20-13:21,9.3,"8,176","12,847","15,157",0,0,0.0000
2021/01/20-13:22,9.4,"8,391","13,089","15,410",0,0,0.0000
2021/01/20-13:23,9.7,"8,722","13,510","15,869",0,0,0.0000
2021/01/20-13:24,10.0,"9,060","13,939","16,336",0,0,0.0000
2021/01/20-13:25,10.2,"9,386","14,343","16,773",0,0,0.0000
2021/01/20-13:26,10.5,"9,738","14,785","17,254",0,0,0.0000
2021/01/20-13:27,9.0,"7,889","12,457","14,724",0,0,0.0000
2021/01/20-13:28,9.3,"8,209","12,868","15,173",0,0,0.0000
2021/01/20-13:29,9.6,"8,537","13,286","15,629",0,0,0.0000
2021/01/20-13:30,9.8,"8,872","13,712","16,093",0,0,0.0000
2021/01/20-13:31,10.0,"9,125","13,932","16,284",0,0,0.0000
2021/01/20-13:32,10.3,"9,466","14,360","16,748",0,0,0.0000
2021/01/20-13:33,10.4,"9,749","14,695","17,105",0,0,0.0000
2021/01/20-13:34,10.7,"10,102","15,134","17,580",0,0,0.0000
2021/01/20-13:35,11.0,"10,462","15,580","18,062",0,0,0.0000
2021/01/20-13:36,11.3,"10,828","16,033","18,552",0,0,0.0000
2021/01/20-13:37,11.5,"11,153","16,415","18,957",0,0,0.0000
2021/01/20-13:38,11.7,"11,531","16,879","19,457",0,0,0.0000
2021/01/20-13:39,10.8,"10,887","15,945","18,401",0,0,0.0000
2021/01/20-13:40,8.3,"6,882","11,157","13,285",0,0,0.0000
2021/01/20-13:41,8.6,"7,181","11,542","13,706",0,0,0.0000
2021/01/20-13:42,8.8,"7,514","12,042","14,293",0,0,0.0000
2021/01/20-13:43,8.6,"7,413","11,859","14,075",0,0,0.0000
2021/01/20-13:44,8.9,"7,723","12,260","14,514",0,0,0.0000
2021/01/20-13:45,7.5,"6,600","10,708","12,783",0,0,0.0000
