time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"5,670","22,738","33,282",0,0,0.0000
2021/01/20-12:01,0.7,"6,571","24,504","35,411",0,0,0.0000
2021/01/20-12:02,1.4,"7,541","26,340","37,610",0,0,0.0000
2021/01/20-12:03,2.1,"8,599","28,282","39,922",0,0,0.0000
2021/01/20-12:04,2.8,"9,729","30,294","42,305",0,0,0.0000
2021/01/20-12:05,3.5,"10,930","32,378","44,758",0,0,0.0000
2021/01/20-12:06,4.2,"12,201","34,533","47,284",0,0,0.0000
2021/01/20-12:07,4.9,"13,544","36,759","49,880",0,0,0.0000
2021/01/20-12:08,5.6,"14,959","39,056","52,548",0,0,0.0000
2021/01/20-12:09,6.3,"16,444","41,424","55,286",1,0,0.0000
2021/01/20-12:10,7.1,"18,001","43,864","58,096",3,1,0.0000
2021/01/20-12:11,7.8,"19,629","46,375","60,977",9,5,0.0117
2021/01/20-12:12,8.5,"21,328","48,957","63,930",11,7,0.0901
2021/01/20-12:13,9.2,"23,098","51,610","66,953",12,6,0.0384
2021/01/20-12:14,9.9,"24,940","54,335","70,048",16,6,0.0384
2021/01/20-12:15,10.4,"26,436","56,454","72,429",17,7,0.0901
2021/01/20-12:16,11.1,"28,399","59,300","75,645",20,10,0.4020
2021/01/20-12:17,11.8,"30,433","62,217","78,933",21,13,0.7512
2021/01/20-12:18,12.5,"32,538","65,206","82,291",23,11,0.5083
2021/01/20-12:19,13.2,"34,715","68,265","85,721",24,10,0.4020
2021/01/20-12:20,13.9,"36,963","71,396","89,222",25,12,0.6502
2021/01/20-12:21,14.6,"39,282","74,598","92,795",27,15,0.8843
2021/01/20-12:22,15.3,"41,672","77,872","96,438",28,15,0.8843
2021/01/20-12:23,16.1,"44,152","81,251","100,196",29,14,0.8230
2021/01/20-12:24,16.8,"46,812","85,134","104,655",30,16,0.9363
2021/01/20-12:25,17.5,"49,455","88,695","108,600",31,13,0.7512
2021/01/20-12:26,18.3,"52,172","92,329","112,619",32,16,0.9363
