time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"22,998","91,992","134,614",28,28,1.0000
2021/01/20-12:01,0.8,"25,946","97,774","141,584",32,32,1.0000
2021/01/20-12:02,1.5,"29,122","103,783","148,782",33,33,1.0000
2021/01/20-12:03,2.3,"32,527","110,022","156,208",36,36,1.0000
2021/01/20-12:04,3.0,"36,094","116,371","163,724",38,38,1.0000
2021/01/20-12:05,3.8,"39,886","122,945","171,465",39,39,1.0000
2021/01/20-12:06,4.5,"43,828","129,617","179,282",40,40,1.0000
2021/01/20-12:07,5.3,"48,043","136,614","187,446",41,41,1.0000
2021/01/20-12:08,6.0,"52,483","143,836","195,834",42,42,1.0000
2021/01/20-12:09,6.8,"57,147","151,282","204,447",43,43,1.0000
2021/01/20-12:10,7.5,"61,944","158,810","213,120",44,44,1.0000
2021/01/20-12:11,6.9,"58,332","152,828","206,144",40,40,1.0000
2021/01/20-12:12,7.6,"63,212","160,491","214,973",42,42,1.0000
2021/01/20-12:13,7.5,"62,382","159,093","213,338",42,42,1.0000
2021/01/20-12:14,8.2,"67,482","166,976","222,387",43,43,1.0000
2021/01/20-12:15,9.0,"72,861","175,188","231,788",44,44,1.0000
2021/01/20-12:16,8.0,"67,198","165,918","221,006",41,41,1.0000
2021/01/20-12:17,8.8,"72,514","174,068","230,344",42,42,1.0000
2021/01/20-12:18,8.5,"70,847","171,423","227,288",43,43,1.0000
2021/01/20-12:19,9.3,"76,329","179,738","236,792",44,44,1.0000
2021/01/20-12:20,10.0,"82,040","188,283","246,525",44,44,1.0000
2021/01/20-12:21,8.6,"72,839","173,672","229,646",41,41,1.0000
2021/01/20-12:22,9.3,"78,342","182,009","239,171",42,42,1.0000
2021/01/20-12:23,9.3,"77,950","181,359","238,412",43,43,1.0000
2021/01/20-12:24,10.1,"83,714","190,008","248,272",44,44,1.0000
2021/01/20-12:25,10.8,"89,711","198,890","258,364",45,45,1.0000
2021/01/20-12:26,9.8,"83,316","188,477","246,265",41,41,1.0000
2021/01/20-12:27,10.5,"89,222","197,267","256,265",42,42,1.0000
2021/01/20-12:28,10.1,"86,699","193,251","251,622",44,44,1.0000
2021/01/20-12:29,10.9,"92,771","202,259","261,862",45,45,1.0000
2021/01/20-12:30,11.7,"98,925","211,299","272,112",45,45,1.0000
2021/01/20-12:31,9.7,"83,526","188,378","246,036",41,41,1.0000
