time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,513,"2,203","3,248",0,0,0.0000
2021/01/20-12:01,0.3,603,"2,380","3,461",0,0,0.0000
2021/01/20-12:02,0.6,700,"2,563","3,681",0,0,0.0000
2021/01/20-12:03,0.8,804,"2,754","3,907",0,0,0.0000
2021/01/20-12:04,1.1,867,"2,806","3,939",0,0,0.0000
2021/01/20-12:05,1.3,979,"3,000","4,167",0,0,0.0000
2021/01/20-12:06,1.6,"1,098","3,201","4,403",0,0,0.0000
2021/01/20-12:07,1.8,"1,223","3,409","4,645",0,0,0.0000
2021/01/20-12:08,2.1,"1,355","3,623","4,894",0,0,0.0000
2021/01/20-12:09,2.4,"1,493","3,844","5,149",0,0,0.0000
2021/01/20-12:10,2.6,"1,550","3,859","5,131",0,0,0.0000
2021/01/20-12:11,1.8,"1,183","3,267","4,444",0,0,0.0000
2021/01/20-12:12,2.1,"1,302","3,460","4,668",0,0,0.0000
2021/01/20-12:13,2.3,"1,434","3,669","4,910",0,0,0.0000
2021/01/20-12:14,2.6,"1,572","3,885","5,159",0,0,0.0000
2021/01/20-12:15,2.8,"1,721","4,116","5,424",0,0,0.0000
2021/01/20-12:16,2.1,"1,365","3,544","4,761",0,0,0.0000
2021/01/20-12:17,1.9,"1,227","3,346","4,538",0,0,0.0000
2021/01/20-12:18,2.2,"1,360","3,561","4,787",0,0,0.0000
2021/01/20-12:19,2.4,"1,500","3,783","5,044",0,0,0.0000
2021/01/20-12:20,2.7,"1,646","4,011","5,307",0,0,0.0000
2021/01/20-12:21,2.0,"1,265","3,405","4,605",0,0,0.0000
2021/01/20-12:22,2.2,"1,386","3,600","4,831",0,0,0.0000
2021/01/20-12:23,2.5,"1,555","3,931","5,247",0,0,0.0000
2021/01/20-12:24,2.7,"1,702","4,161","5,511",0,0,0.0000
2021/01/20-12:25,3.0,"1,884","4,505","5,940",0,0,0.0000
2021/01/20-12:26,2.2,"1,505","3,892","5,229",0,0,0.0000
2021/01/20-12:27,2.4,"1,587","4,018","5,373",0,0,0.0000
2021/01/20-12:28,2.6,"1,732","4,245","5,635",0,0,0.0000
2021/01/20-12:29,2.9,"1,884","4,479","5,903",0,0,0.0000
2021/01/20-12:30,3.2,"2,043","4,720","6,178",0,0,0.0000
2021/01/20-12:31,2.7,"1,805","4,323","5,714",0,0,0.0000
2021/01/20-12:32,2.4,"1,611","4,042","5,397",0,0,0.0000
2021/01/20-12:33,2.6,"1,757","4,270","5,659",0,0,0.0000
2021/01/20-12:34,2.9,"1,909","4,504","5,928",0,0,0.0000
2021/01/20-12:35,3.2,"2,067","4,745","6,203",0,0,0.0000
2021/01/20-12:36,2.5,"1,745","4,215","5,586",0,0,0.0000
2021/01/20-12:37,2.8,"1,894","4,446","5,852",0,0,0.0000
2021/01/20-12:38,3.0,"2,049","4,683","6,123",0,0,0.0000
2021/01/20-12:39,3.3,"2,211","4,927","6,402",0,0,0.0000
2021/01/20-12:40,3.6,"2,379","5,178","6,687",0,0,0.0000
2021/01/20-12:41,2.8,"2,034","4,612","6,029",0,0,0.0000
2021/01/20-12:42,3.1,"2,185","4,841","6,290",0,0,0.0000
2021/01/20-12:43,3.4,"2,348","5,086","6,570",0,0,0.0000
2021/01/20-12:44,3.6,"2,518","5,339","6,857",0,0,0.0000
2021/01/20-12:45,3.9,"2,695","5,598","7,150",0,0,0.0000
2021/01/20-12:46,3.1,"2,288","4,935","6,381",0,0,0.0000
2021/01/20-12:47,2.5,"1,751","4,221","5,592",0,0,0.0000
2021/01/20-12:48,2.8,"1,899","4,451","5,857",0,0,0.0000
2021/01/20-12:49,3.0,"2,054","4,689","6,129",0,0,0.0000
2021/01/20-12:50,3.3,"2,216","4,933","6,407",0,0,0.0000
2021/01/20-12:51,2.8,"1,983","4,544","5,953",0,0,0.0000
2021/01/20-12:52,3.0,"2,126","4,760","6,200",0,0,0.0000
2021/01/20-12:53,3.3,"2,287","5,004","6,478",0,0,0.0000
2021/01/20-12:54,3.6,"2,460","5,263","6,774",0,0,0.0000
2021/01/20-12:55,3.8,"2,640","5,530","7,077",0,0,0.0000
2021/01/20-12:56,3.4,"2,437","5,188","6,677",0,0,0.0000
2021/01/20-12:57,3.4,"2,441","5,184","6,669",0,0,0.0000
2021/01/20-12:58,3.7,"2,620","5,454","6,977",0,0,0.0000
2021/01/20-12:59,4.0,"2,807","5,731","7,293",0,0,0.0000
2021/01/20-13:00,4.2,"3,001","6,016","7,616",0,0,0.0000
2021/01/20-13:01,3.5,"2,574","5,356","6,857",0,0,0.0000
2021/01/20-13:02,3.0,"2,226","4,864","6,306",0,0,0.0000
2021/01/20-13:03,3.3,"2,397","5,126","6,606",0,0,0.0000
2021/01/20-13:04,3.6,"2,575","5,396","6,914",0,0,0.0000
2021/01/20-13:05,3.9,"2,761","5,672","7,228",0,0,0.0000
2021/01/20-13:06,3.2,"2,395","5,068","6,525",0,0,0.0000
2021/01/20-13:07,3.4,"2,569","5,333","6,828",0,0,0.0000
2021/01/20-13:08,3.7,"2,750","5,605","7,138",0,0,0.0000
2021/01/20-13:09,4.0,"2,939","5,884","7,455",0,0,0.0000
2021/01/20-13:10,4.3,"3,134","6,171","7,780",0,0,0.0000
2021/01/20-13:11,3.7,"2,863","5,710","7,239",0,0,0.0000
2021/01/20-13:12,4.0,"3,072","6,086","7,701",0,0,0.0000
2021/01/20-13:13,4.3,"3,267","6,371","8,025",0,0,0.0000
2021/01/20-13:14,4.6,"3,469","6,664","8,356",0,0,0.0000
2021/01/20-13:15,4.9,"3,678","6,965","8,694",0,0,0.0000
2021/01/20-13:16,4.1,"3,330","6,387","8,020",0,0,0.0000
2021/01/20-13:17,2.4,"1,629","4,157","5,569",0,0,0.0000
2021/01/20-13:18,2.7,"1,784","4,404","5,854",0,0,0.0000
2021/01/20-13:19,3.0,"1,947","4,658","6,146",0,0,0.0000
2021/01/20-13:20,3.3,"2,118","4,919","6,445",0,0,0.0000
2021/01/20-13:21,2.8,"1,849","4,481","5,937",0,0,0.0000
2021/01/20-13:22,3.0,"2,000","4,714","6,204",0,0,0.0000
2021/01/20-13:23,3.3,"2,170","4,976","6,504",0,0,0.0000
2021/01/20-13:24,3.6,"2,348","5,245","6,811",0,0,0.0000
2021/01/20-13:25,3.9,"2,534","5,521","7,125",0,0,0.0000
2021/01/20-13:26,2.5,"1,704","4,263","5,687",0,0,0.0000
2021/01/20-13:27,2.7,"1,796","4,402","5,847",0,0,0.0000
2021/01/20-13:28,3.0,"1,958","4,655","6,138",0,0,0.0000
2021/01/20-13:29,3.3,"2,127","4,915","6,436",0,0,0.0000
2021/01/20-13:30,3.6,"2,304","5,183","6,742",0,0,0.0000
2021/01/20-13:31,2.7,"1,756","4,269","5,658",0,0,0.0000
2021/01/20-13:32,2.8,"1,809","4,348","5,748",0,0,0.0000
2021/01/20-13:33,3.1,"1,968","4,593","6,030",0,0,0.0000
2021/01/20-13:34,3.4,"2,133","4,845","6,318",0,0,0.0000
2021/01/20-13:35,3.6,"2,306","5,104","6,613",0,0,0.0000
2021/01/20-13:36,2.9,"1,991","4,587","6,010",0,0,0.0000
2021/01/20-13:37,3.2,"2,154","4,836","6,296",0,0,0.0000
2021/01/20-13:38,3.5,"2,324","5,093","6,589",0,0,0.0000
2021/01/20-13:39,3.8,"2,501","5,356","6,889",0,0,0.0000
2021/01/20-13:40,4.0,"2,685","5,627","7,196",0,0,0.0000
2021/01/20-13:41,3.5,"2,430","5,198","6,695",0,0,0.0000
2021/01/20-13:42,3.7,"2,628","5,559","7,140",0,0,0.0000
2021/01/20-13:43,4.0,"2,816","5,838","7,457",0,0,0.0000
2021/01/20-13:44,4.3,"3,011","6,124","7,781",0,0,0.0000
2021/01/20-13:45,4.6,"3,214","6,418","8,113",0,0,0.0000
