time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"5,670","22,738","33,282",0,0,0.0000
2021/01/20-12:01,0.7,"6,571","24,504","35,411",0,0,0.0000
2021/01/20-12:02,1.4,"7,541","26,340","37,610",0,0,0.0000
2021/01/20-12:03,2.1,"8,599","28,282","39,922",0,0,0.0000
2021/01/20-12:04,2.8,"9,729","30,294","42,305",0,0,0.0000
2021/01/20-12:05,3.5,"10,930","32,378","44,758",0,0,0.0000
2021/01/20-12:06,4.2,"12,201","34,533","47,284",0,0,0.0000
2021/01/20-12:07,4.9,"13,544","36,759","49,880",0,0,0.0000
2021/01/20-12:08,5.6,"14,959","39,056","52,548",0,0,0.0000
2021/01/20-12:09,6.3,"16,444","41,424","55,286",1,1,0.0000
2021/01/20-12:10,7.1,"18,001","43,864","58,096",3,1,0.0000
2021/01/20-12:11,5.5,"14,814","38,703","52,108",0,0,0.0000
2021/01/20-12:12,6.0,"15,919","40,466","54,146",0,0,0.0000
2021/01/20-12:13,6.7,"17,440","42,871","56,921",2,1,0.0000
2021/01/20-12:14,7.4,"19,033","45,347","59,768",5,3,0.0001
2021/01/20-12:15,8.1,"20,698","47,894","62,685",6,4,0.0020
2021/01/20-12:16,5.7,"15,561","39,779","53,322",0,0,0.0000
2021/01/20-12:17,6.4,"16,924","41,939","55,815",0,0,0.0000
2021/01/20-12:18,7.1,"18,484","44,382","58,628",3,0,0.0000
2021/01/20-12:19,7.8,"20,114","46,895","61,512",5,2,0.0000
2021/01/20-12:20,8.5,"21,816","49,480","64,467",6,3,0.0001
2021/01/20-12:21,6.7,"17,825","43,186","57,208",1,1,0.0000
2021/01/20-12:22,7.3,"19,360","45,569","59,946",2,1,0.0000
2021/01/20-12:23,8.1,"21,033","48,143","62,898",5,3,0.0001
2021/01/20-12:24,8.8,"22,888","51,220","66,552",8,4,0.0020
2021/01/20-12:25,9.5,"24,725","53,975","69,691",9,5,0.0117
2021/01/20-12:26,7.7,"20,702","47,649","62,399",4,2,0.0000
